Retail Market,Vegetable,Primary Producer Market Target,Secondary Producer Market Target (Fallback)
Kandy,LEEKS,Nuwaraeliya,Badulla
Kandy,CABBAGE,Nuwaraeliya,Badulla
Kandy,BEETROOT,Nuwaraeliya,Badulla
Kandy,GREEN BEANS,Nuwaraeliya,Badulla
Kandy,PUMPKIN,Dambulla,Anuradhapura
Kandy,BRINJALS,Dambulla,Anuradhapura
Kandy,LADIES FINGERS,Dambulla,Anuradhapura
Kandy,SNAKE GOURD,Dambulla,Anuradhapura
Kandy,ASH PLANTAINS,Dambulla,Anuradhapura
Kandy,TOMATOES,Dambulla,Anuradhapura
Kandy,GREEN CHILLIES,Dambulla,Anuradhapura
Kurunegala,CARROT,Dambulla,Nuwaraeliya
Kurunegala,LEEKS,Dambulla,Nuwaraeliya
Kurunegala,CABBAGE,Dambulla,Nuwaraeliya
Kurunegala,BEETROOT,Dambulla,Nuwaraeliya
Kurunegala,GREEN BEANS,Dambulla,Nuwaraeliya
Kurunegala,PUMPKIN,Dambulla,Thambuththegama
Kurunegala,BRINJALS,Dambulla,Puttalam
Kurunegala,LADIES FINGERS,Dambulla,Thambuththegama
Kurunegala,SNAKE GOURD,Dambulla,Thambuththegama
Kurunegala,ASH PLANTAINS,Dambulla,Puttalam
Kurunegala,TOMATOES,Dambulla,Thambuththegama
Kurunegala,GREEN CHILLIES,Dambulla,Puttalam
Dambulla,CARROT,Nuwaraeliya,Badulla
Dambulla,LEEKS,Nuwaraeliya,Badulla
Dambulla,CABBAGE,Nuwaraeliya,Badulla
Dambulla,BEETROOT,Nuwaraeliya,Badulla
Dambulla,GREEN BEANS,Nuwaraeliya,Badulla
Dambulla,PUMPKIN,Dambulla,Anuradhapura
Dambulla,BRINJALS,Dambulla,Anuradhapura
Dambulla,LADIES FINGERS,Dambulla,Anuradhapura
Dambulla,SNAKE GOURD,Dambulla,Anuradhapura
Dambulla,ASH PLANTAINS,Dambulla,Anuradhapura
Dambulla,TOMATOES,Dambulla,Anuradhapura
Dambulla,GREEN CHILLIES,Dambulla,Anuradhapura
Puttalam,CARROT,Dambulla,Nuwaraeliya
Puttalam,LEEKS,Dambulla,Nuwaraeliya
Puttalam,CABBAGE,Dambulla,Nuwaraeliya
Puttalam,BEETROOT,Dambulla,Nuwaraeliya
Puttalam,GREEN BEANS,Dambulla,Nuwaraeliya
Puttalam,PUMPKIN,Puttalam,Anuradhapura
Puttalam,BRINJALS,Puttalam,Anuradhapura
Puttalam,LADIES FINGERS,Puttalam,Anuradhapura
Puttalam,SNAKE GOURD,Puttalam,Anuradhapura
Puttalam,ASH PLANTAINS,Puttalam,Anuradhapura
Puttalam,TOMATOES,Puttalam,Anuradhapura
Puttalam,GREEN CHILLIES,Puttalam,Anuradhapura
Thambuththegama,CARROT,Dambulla,Nuwaraeliya
Thambuththegama,LEEKS,Dambulla,Nuwaraeliya
Thambuththegama,CABBAGE,Dambulla,Nuwaraeliya
Thambuththegama,BEETROOT,Dambulla,Nuwaraeliya
Thambuththegama,GREEN BEANS,Dambulla,Nuwaraeliya
Thambuththegama,PUMPKIN,Thambuththegama,Anuradhapura
Thambuththegama,BRINJALS,Thambuththegama,Anuradhapura
Thambuththegama,LADIES FINGERS,Thambuththegama,Anuradhapura
Thambuththegama,SNAKE GOURD,Thambuththegama,Anuradhapura
Thambuththegama,ASH PLANTAINS,Thambuththegama,Anuradhapura
Thambuththegama,TOMATOES,Thambuththegama,Anuradhapura
Thambuththegama,GREEN CHILLIES,Thambuththegama,Anuradhapura
Anuradhapura,CARROT,Dambulla,Nuwaraeliya
Anuradhapura,LEEKS,Dambulla,Nuwaraeliya
Anuradhapura,CABBAGE,Dambulla,Nuwaraeliya
Anuradhapura,BEETROOT,Dambulla,Nuwaraeliya
Anuradhapura,GREEN BEANS,Dambulla,Nuwaraeliya
Anuradhapura,PUMPKIN,Anuradhapura,Thambuththegama
Anuradhapura,BRINJALS,Anuradhapura,Thambuththegama
Anuradhapura,LADIES FINGERS,Anuradhapura,Thambuththegama
Anuradhapura,SNAKE GOURD,Anuradhapura,Thambuththegama
Anuradhapura,ASH PLANTAINS,Anuradhapura,Thambuththegama
Anuradhapura,TOMATOES,Anuradhapura,Thambuththegama
Anuradhapura,GREEN CHILLIES,Anuradhapura,Thambuththegama
Badulla,CARROT,Badulla,Nuwaraeliya
Badulla,LEEKS,Badulla,Nuwaraeliya
Badulla,CABBAGE,Badulla,Nuwaraeliya
Badulla,BEETROOT,Badulla,Nuwaraeliya
Badulla,GREEN BEANS,Badulla,Nuwaraeliya
Badulla,PUMPKIN,Dambulla,Badulla
Badulla,BRINJALS,Badulla,Dambulla
Badulla,LADIES FINGERS,Dambulla,Badulla
Badulla,SNAKE GOURD,Dambulla,Badulla
Badulla,ASH PLANTAINS,Badulla,Dambulla
Badulla,TOMATOES,Badulla,Dambulla
Badulla,GREEN CHILLIES,Badulla,Dambulla
Nuwaraeliya,CARROT,Nuwaraeliya,Badulla
Nuwaraeliya,LEEKS,Nuwaraeliya,Badulla
Nuwaraeliya,CABBAGE,Nuwaraeliya,Badulla
Nuwaraeliya,BEETROOT,Nuwaraeliya,Badulla
Nuwaraeliya,GREEN BEANS,Nuwaraeliya,Badulla
Nuwaraeliya,PUMPKIN,Dambulla,Badulla
Nuwaraeliya,BRINJALS,Dambulla,Badulla
Nuwaraeliya,LADIES FINGERS,Dambulla,Badulla
Nuwaraeliya,SNAKE GOURD,Dambulla,Badulla
Nuwaraeliya,ASH PLANTAINS,Dambulla,Badulla
Nuwaraeliya,TOMATOES,Nuwaraeliya,Badulla
Nuwaraeliya,GREEN CHILLIES,Nuwaraeliya,Dambulla
Hambanthota,CARROT,Badulla,Nuwaraeliya
Hambanthota,LEEKS,Badulla,Nuwaraeliya
Hambanthota,CABBAGE,Badulla,Nuwaraeliya
Hambanthota,BEETROOT,Badulla,Nuwaraeliya
Hambanthota,GREEN BEANS,Badulla,Nuwaraeliya
Hambanthota,PUMPKIN,Hambanthota,Embilipitiya
Hambanthota,BRINJALS,Hambanthota,Embilipitiya
Hambanthota,LADIES FINGERS,Hambanthota,Embilipitiya
Hambanthota,SNAKE GOURD,Hambanthota,Embilipitiya
Hambanthota,ASH PLANTAINS,Hambanthota,Embilipitiya
Hambanthota,TOMATOES,Embilipitiya,Hambanthota
Hambanthota,GREEN CHILLIES,Hambanthota,Embilipitiya
Embilipitiya,CARROT,Badulla,Nuwaraeliya
Embilipitiya,LEEKS,Badulla,Nuwaraeliya
Embilipitiya,CABBAGE,Badulla,Nuwaraeliya
Embilipitiya,BEETROOT,Badulla,Nuwaraeliya
Embilipitiya,GREEN BEANS,Badulla,Nuwaraeliya
Embilipitiya,PUMPKIN,Embilipitiya,Hambanthota
Embilipitiya,BRINJALS,Embilipitiya,Hambanthota
Embilipitiya,LADIES FINGERS,Embilipitiya,Hambanthota
Embilipitiya,SNAKE GOURD,Embilipitiya,Hambanthota
Embilipitiya,ASH PLANTAINS,Embilipitiya,Hambanthota
Embilipitiya,TOMATOES,Embilipitiya,Hambanthota
Embilipitiya,GREEN CHILLIES,Embilipitiya,Hambanthota
