Year,Location,Vegetable_Type,Missing_Cells
2008,Dehiattakandiya,GREEN CHILLIES,8
2008,Dehiattakandiya,KANKUN,21
2008,Dehiattakandiya,KNOL-KHOL,9
2008,Dehiattakandiya,LADIES FINGERS,13
2008,Dehiattakandiya,LEEKS,8
2008,Dehiattakandiya,LIME,17
2008,Dehiattakandiya,LONG BEANS,10
2008,Dehiattakandiya,LUFFA,11
2008,Dehiattakandiya,MANIOC,23
2008,Dehiattakandiya,MUKUNUWENNA,13
2008,Dehiattakandiya,PUMPKIN,8
2008,Dehiattakandiya,RADDISH,10
2008,Dehiattakandiya,SNAKE GOURD,8
2008,Dehiattakandiya,SWEET POTATOES,17
2008,Dehiattakandiya,TOMATOES,8
2008,Embilipitiya,ASH PLANTAINS,6
2008,Embilipitiya,BEETROOT,6
2008,Embilipitiya,BITTER GOURD,5
2008,Embilipitiya,BRINJALS,6
2008,Embilipitiya,CABBAGE,8
2008,Embilipitiya,CAPSICUM,6
2008,Embilipitiya,CARROT,5
2008,Embilipitiya,CUCUMBER,5
2008,Embilipitiya,DRUMSTIC,29
2008,Embilipitiya,GOTUKOLA,5
2008,Embilipitiya,GREEN BEANS,5
2008,Embilipitiya,GREEN CHILLIES,5
2008,Embilipitiya,KANKUN,5
2008,Embilipitiya,KNOL-KHOL,7
2008,Embilipitiya,LADIES FINGERS,5
2008,Embilipitiya,LEEKS,5
2008,Embilipitiya,LIME,5
2008,Embilipitiya,LONG BEANS,5
2008,Embilipitiya,LUFFA,5
2008,Embilipitiya,MANIOC,7
2008,Embilipitiya,MUKUNUWENNA,5
2008,Embilipitiya,PUMPKIN,5
2008,Embilipitiya,RADDISH,5
2008,Embilipitiya,SNAKE GOURD,5
2008,Embilipitiya,SWEET POTATOES,6
2008,Embilipitiya,TOMATOES,5
2008,Galle,ASH PLANTAINS,12
2008,Galle,BEETROOT,13
2008,Galle,BITTER GOURD,12
2008,Galle,BRINJALS,12
2008,Galle,CABBAGE,12
2008,Galle,CAPSICUM,12
2008,Galle,CARROT,12
2008,Galle,CUCUMBER,12
2008,Galle,DRUMSTIC,37
2008,Galle,GOTUKOLA,12
2008,Galle,GREEN BEANS,13
2008,Galle,GREEN CHILLIES,12
2008,Galle,KANKUN,13
2008,Galle,KNOL-KHOL,17
2008,Galle,LADIES FINGERS,12
2008,Galle,LEEKS,12
2008,Galle,LIME,13
2008,Galle,LONG BEANS,13
2008,Galle,LUFFA,12
2008,Galle,MANIOC,15
2008,Galle,MUKUNUWENNA,12
2008,Galle,PUMPKIN,12
2008,Galle,RADDISH,12
2008,Galle,SNAKE GOURD,12
2008,Galle,SWEET POTATOES,20
2008,Galle,TOMATOES,12
2008,Gampaha,ASH PLANTAINS,52
2008,Gampaha,BEETROOT,52
2008,Gampaha,BITTER GOURD,52
2008,Gampaha,BRINJALS,52
2008,Gampaha,CABBAGE,52
2008,Gampaha,CAPSICUM,52
2008,Gampaha,CARROT,52
2008,Gampaha,CUCUMBER,52
2008,Gampaha,DRUMSTIC,52
2008,Gampaha,GOTUKOLA,52
2008,Gampaha,GREEN BEANS,52
2008,Gampaha,GREEN CHILLIES,52
2008,Gampaha,KANKUN,52
2008,Gampaha,KNOL-KHOL,52
2008,Gampaha,LADIES FINGERS,52
2008,Gampaha,LEEKS,52
2008,Gampaha,LIME,52
2008,Gampaha,LONG BEANS,52
2008,Gampaha,LUFFA,52
2008,Gampaha,MANIOC,52
2008,Gampaha,MUKUNUWENNA,52
2008,Gampaha,PUMPKIN,52
2008,Gampaha,RADDISH,52
2008,Gampaha,SNAKE GOURD,52
2008,Gampaha,SWEET POTATOES,52
2008,Gampaha,TOMATOES,52
2008,Hambanthota,ASH PLANTAINS,9
2008,Hambanthota,BEETROOT,10
2008,Hambanthota,BITTER GOURD,10
2008,Hambanthota,BRINJALS,8
2008,Hambanthota,CABBAGE,9
2008,Hambanthota,CAPSICUM,8
2008,Hambanthota,CARROT,8
2008,Hambanthota,CUCUMBER,8
2008,Hambanthota,DRUMSTIC,25
2008,Hambanthota,GOTUKOLA,9
2008,Hambanthota,GREEN BEANS,8
2008,Hambanthota,GREEN CHILLIES,8
2008,Hambanthota,KANKUN,8
2008,Hambanthota,KNOL-KHOL,19
2008,Hambanthota,LADIES FINGERS,8
2008,Hambanthota,LEEKS,8
2008,Hambanthota,LIME,8
2008,Hambanthota,LONG BEANS,9
2008,Hambanthota,LUFFA,8
2008,Hambanthota,MANIOC,8
2008,Hambanthota,MUKUNUWENNA,8
2008,Hambanthota,PUMPKIN,9
2008,Hambanthota,RADDISH,9
2008,Hambanthota,SNAKE GOURD,8
2008,Hambanthota,SWEET POTATOES,9
2008,Hambanthota,TOMATOES,8
2008,Hanguranketha,ASH PLANTAINS,52
2008,Hanguranketha,BEETROOT,52
2008,Hanguranketha,BITTER GOURD,52
2008,Hanguranketha,BRINJALS,52
2008,Hanguranketha,CABBAGE,52
2008,Hanguranketha,CAPSICUM,52
2008,Hanguranketha,CARROT,52
2008,Hanguranketha,CUCUMBER,52
2008,Hanguranketha,DRUMSTIC,52
2008,Hanguranketha,GOTUKOLA,52
2008,Hanguranketha,GREEN BEANS,52
2008,Hanguranketha,GREEN CHILLIES,52
2008,Hanguranketha,KANKUN,52
2008,Hanguranketha,KNOL-KHOL,52
2008,Hanguranketha,LADIES FINGERS,52
2008,Hanguranketha,LEEKS,52
2008,Hanguranketha,LIME,52
2008,Hanguranketha,LONG BEANS,52
2008,Hanguranketha,LUFFA,52
2008,Hanguranketha,MANIOC,52
2008,Hanguranketha,MUKUNUWENNA,52
2008,Hanguranketha,PUMPKIN,52
2008,Hanguranketha,RADDISH,52
2008,Hanguranketha,SNAKE GOURD,52
2008,Hanguranketha,SWEET POTATOES,52
2008,Hanguranketha,TOMATOES,52
2008,Jaffna,ASH PLANTAINS,52
2008,Jaffna,BEETROOT,52
2008,Jaffna,BITTER GOURD,52
2008,Jaffna,BRINJALS,52
2008,Jaffna,CABBAGE,52
2008,Jaffna,CAPSICUM,52
2008,Jaffna,CARROT,52
2008,Jaffna,CUCUMBER,52
2008,Jaffna,DRUMSTIC,52
2008,Jaffna,GOTUKOLA,52
2008,Jaffna,GREEN BEANS,52
2008,Jaffna,GREEN CHILLIES,52
2008,Jaffna,KANKUN,52
2008,Jaffna,KNOL-KHOL,52
2008,Jaffna,LADIES FINGERS,52
2008,Jaffna,LEEKS,52
2008,Jaffna,LIME,52
2008,Jaffna,LONG BEANS,52
2008,Jaffna,LUFFA,52
2008,Jaffna,MANIOC,52
2008,Jaffna,MUKUNUWENNA,52
2008,Jaffna,PUMPKIN,52
2008,Jaffna,RADDISH,52
2008,Jaffna,SNAKE GOURD,52
2008,Jaffna,SWEET POTATOES,52
2008,Jaffna,TOMATOES,52
2008,Kaluthara,ASH PLANTAINS,10
2008,Kaluthara,BEETROOT,12
2008,Kaluthara,BITTER GOURD,10
2008,Kaluthara,BRINJALS,9
2008,Kaluthara,CABBAGE,10
2008,Kaluthara,CAPSICUM,10
2008,Kaluthara,CARROT,10
2008,Kaluthara,CUCUMBER,9
2008,Kaluthara,DRUMSTIC,35
2008,Kaluthara,GOTUKOLA,18
2008,Kaluthara,GREEN BEANS,10
2008,Kaluthara,GREEN CHILLIES,10
2008,Kaluthara,KANKUN,10
2008,Kaluthara,KNOL-KHOL,13
2008,Kaluthara,LADIES FINGERS,9
2008,Kaluthara,LEEKS,10
2008,Kaluthara,LIME,12
2008,Kaluthara,LONG BEANS,10
2008,Kaluthara,LUFFA,10
2008,Kaluthara,MANIOC,10
2008,Kaluthara,MUKUNUWENNA,10
2008,Kaluthara,PUMPKIN,9
2008,Kaluthara,RADDISH,10
2008,Kaluthara,SNAKE GOURD,9
2008,Kaluthara,SWEET POTATOES,10
2008,Kaluthara,TOMATOES,10
2008,Kandy,ASH PLANTAINS,7
2008,Kandy,BEETROOT,7
2008,Kandy,BITTER GOURD,7
2008,Kandy,BRINJALS,8
2008,Kandy,CABBAGE,7
2008,Kandy,CAPSICUM,7
2008,Kandy,CARROT,7
2008,Kandy,CUCUMBER,7
2008,Kandy,DRUMSTIC,37
2008,Kandy,GOTUKOLA,8
2008,Kandy,GREEN BEANS,7
2008,Kandy,GREEN CHILLIES,7
2008,Kandy,KANKUN,7
2008,Kandy,KNOL-KHOL,8
2008,Kandy,LADIES FINGERS,7
2008,Kandy,LEEKS,7
2008,Kandy,LIME,7
2008,Kandy,LONG BEANS,7
2008,Kandy,LUFFA,7
2008,Kandy,MANIOC,7
2008,Kandy,MUKUNUWENNA,7
2008,Kandy,PUMPKIN,7
2008,Kandy,RADDISH,7
2008,Kandy,SNAKE GOURD,8
2008,Kandy,SWEET POTATOES,7
2008,Kandy,TOMATOES,7
2008,Keppetipola,ASH PLANTAINS,12
2008,Keppetipola,BEETROOT,11
2008,Keppetipola,BITTER GOURD,13
2008,Keppetipola,BRINJALS,11
2008,Keppetipola,CABBAGE,11
2008,Keppetipola,CAPSICUM,11
2008,Keppetipola,CARROT,11
2008,Keppetipola,CUCUMBER,11
2008,Keppetipola,DRUMSTIC,45
2008,Keppetipola,GOTUKOLA,11
2008,Keppetipola,GREEN BEANS,11
2008,Keppetipola,GREEN CHILLIES,11
2008,Keppetipola,KANKUN,12
2008,Keppetipola,KNOL-KHOL,11
2008,Keppetipola,LADIES FINGERS,11
2008,Keppetipola,LEEKS,11
2008,Keppetipola,LIME,11
2008,Keppetipola,LONG BEANS,12
2008,Keppetipola,LUFFA,13
2008,Keppetipola,MANIOC,11
2008,Keppetipola,MUKUNUWENNA,11
2008,Keppetipola,PUMPKIN,11
2008,Keppetipola,RADDISH,11
2008,Keppetipola,SNAKE GOURD,11
2008,Keppetipola,SWEET POTATOES,11
2008,Keppetipola,TOMATOES,12
2008,Kilinochchi,ASH PLANTAINS,52
2008,Kilinochchi,BEETROOT,52
2008,Kilinochchi,BITTER GOURD,52
2008,Kilinochchi,BRINJALS,52
2008,Kilinochchi,CABBAGE,52
2008,Kilinochchi,CAPSICUM,52
2008,Kilinochchi,CARROT,52
2008,Kilinochchi,CUCUMBER,52
2008,Kilinochchi,DRUMSTIC,52
2008,Kilinochchi,GOTUKOLA,52
2008,Kilinochchi,GREEN BEANS,52
2008,Kilinochchi,GREEN CHILLIES,52
2008,Kilinochchi,KANKUN,52
2008,Kilinochchi,KNOL-KHOL,52
2008,Kilinochchi,LADIES FINGERS,52
2008,Kilinochchi,LEEKS,52
2008,Kilinochchi,LIME,52
2008,Kilinochchi,LONG BEANS,52
2008,Kilinochchi,LUFFA,52
2008,Kilinochchi,MANIOC,52
2008,Kilinochchi,MUKUNUWENNA,52
2008,Kilinochchi,PUMPKIN,52
2008,Kilinochchi,RADDISH,52
2008,Kilinochchi,SNAKE GOURD,52
2008,Kilinochchi,SWEET POTATOES,52
2008,Kilinochchi,TOMATOES,52
2008,Kurunegala,ASH PLANTAINS,10
2008,Kurunegala,BEETROOT,10
2008,Kurunegala,BITTER GOURD,11
2008,Kurunegala,BRINJALS,10
2008,Kurunegala,CABBAGE,10
2008,Kurunegala,CAPSICUM,10
2008,Kurunegala,CARROT,10
2008,Kurunegala,CUCUMBER,10
2008,Kurunegala,DRUMSTIC,52
2008,Kurunegala,GOTUKOLA,10
2008,Kurunegala,GREEN BEANS,10
2008,Kurunegala,GREEN CHILLIES,10
2008,Kurunegala,KANKUN,10
2008,Kurunegala,KNOL-KHOL,10
2008,Kurunegala,LADIES FINGERS,10
2008,Kurunegala,LEEKS,10
2008,Kurunegala,LIME,10
2008,Kurunegala,LONG BEANS,10
2008,Kurunegala,LUFFA,10
2008,Kurunegala,MANIOC,12
2008,Kurunegala,MUKUNUWENNA,10
2008,Kurunegala,PUMPKIN,10
2008,Kurunegala,RADDISH,10
2008,Kurunegala,SNAKE GOURD,10
2008,Kurunegala,SWEET POTATOES,11
2008,Kurunegala,TOMATOES,10
2008,Mannar,ASH PLANTAINS,52
2008,Mannar,BEETROOT,52
2008,Mannar,BITTER GOURD,52
2008,Mannar,BRINJALS,52
2008,Mannar,CABBAGE,52
2008,Mannar,CAPSICUM,52
2008,Mannar,CARROT,52
2008,Mannar,CUCUMBER,52
2008,Mannar,DRUMSTIC,52
2008,Mannar,GOTUKOLA,52
2008,Mannar,GREEN BEANS,52
2008,Mannar,GREEN CHILLIES,52
2008,Mannar,KANKUN,52
2008,Mannar,KNOL-KHOL,52
2008,Mannar,LADIES FINGERS,52
2008,Mannar,LEEKS,52
2008,Mannar,LIME,52
2008,Mannar,LONG BEANS,52
2008,Mannar,LUFFA,52
2008,Mannar,MANIOC,52
2008,Mannar,MUKUNUWENNA,52
2008,Mannar,PUMPKIN,52
2008,Mannar,RADDISH,52
2008,Mannar,SNAKE GOURD,52
2008,Mannar,SWEET POTATOES,52
2008,Mannar,TOMATOES,52
2008,Mathara,ASH PLANTAINS,6
2008,Mathara,BEETROOT,7
2008,Mathara,BITTER GOURD,6
2008,Mathara,BRINJALS,6
2008,Mathara,CABBAGE,6
2008,Mathara,CAPSICUM,6
2008,Mathara,CARROT,9
2008,Mathara,CUCUMBER,6
2008,Mathara,DRUMSTIC,22
2008,Mathara,GOTUKOLA,7
2008,Mathara,GREEN BEANS,7
2008,Mathara,GREEN CHILLIES,6
2008,Mathara,KANKUN,8
2008,Mathara,KNOL-KHOL,7
2008,Mathara,LADIES FINGERS,6
2008,Mathara,LEEKS,7
2008,Mathara,LIME,6
2008,Mathara,LONG BEANS,6
2008,Mathara,LUFFA,6
2008,Mathara,MANIOC,8
2008,Mathara,MUKUNUWENNA,7
2008,Mathara,PUMPKIN,6
2008,Mathara,RADDISH,6
2008,Mathara,SNAKE GOURD,6
2008,Mathara,SWEET POTATOES,7
2008,Mathara,TOMATOES,6
2008,Meegoda,ASH PLANTAINS,9
2008,Meegoda,BEETROOT,10
2008,Meegoda,BITTER GOURD,9
2008,Meegoda,BRINJALS,9
2008,Meegoda,CABBAGE,10
2008,Meegoda,CAPSICUM,11
2008,Meegoda,CARROT,9
2008,Meegoda,CUCUMBER,9
2008,Meegoda,DRUMSTIC,32
2008,Meegoda,GOTUKOLA,26
2008,Meegoda,GREEN BEANS,9
2008,Meegoda,GREEN CHILLIES,9
2008,Meegoda,KANKUN,14
2008,Meegoda,KNOL-KHOL,17
2008,Meegoda,LADIES FINGERS,9
2008,Meegoda,LEEKS,9
2008,Meegoda,LIME,9
2008,Meegoda,LONG BEANS,9
2008,Meegoda,LUFFA,9
2008,Meegoda,MANIOC,9
2008,Meegoda,MUKUNUWENNA,13
2008,Meegoda,PUMPKIN,9
2008,Meegoda,RADDISH,10
2008,Meegoda,SNAKE GOURD,9
2008,Meegoda,SWEET POTATOES,13
2008,Meegoda,TOMATOES,9
2008,Monaragala,ASH PLANTAINS,24
2008,Monaragala,BEETROOT,23
2008,Monaragala,BITTER GOURD,23
2008,Monaragala,BRINJALS,23
2008,Monaragala,CABBAGE,23
2008,Monaragala,CAPSICUM,24
2008,Monaragala,CARROT,23
2008,Monaragala,CUCUMBER,23
2008,Monaragala,DRUMSTIC,48
2008,Monaragala,GOTUKOLA,24
2008,Monaragala,GREEN BEANS,23
2008,Monaragala,GREEN CHILLIES,24
2008,Monaragala,KANKUN,23
2008,Monaragala,KNOL-KHOL,24
2008,Monaragala,LADIES FINGERS,23
2008,Monaragala,LEEKS,23
2008,Monaragala,LIME,26
2008,Monaragala,LONG BEANS,23
2008,Monaragala,LUFFA,23
2008,Monaragala,MANIOC,23
2008,Monaragala,MUKUNUWENNA,23
2008,Monaragala,PUMPKIN,23
2008,Monaragala,RADDISH,24
2008,Monaragala,SNAKE GOURD,23
2008,Monaragala,SWEET POTATOES,23
2008,Monaragala,TOMATOES,23
2008,Mullaitive,ASH PLANTAINS,52
2008,Mullaitive,BEETROOT,52
2008,Mullaitive,BITTER GOURD,52
2008,Mullaitive,BRINJALS,52
2008,Mullaitive,CABBAGE,52
2008,Mullaitive,CAPSICUM,52
2008,Mullaitive,CARROT,52
2008,Mullaitive,CUCUMBER,52
2008,Mullaitive,DRUMSTIC,52
2008,Mullaitive,GOTUKOLA,52
2008,Mullaitive,GREEN BEANS,52
2008,Mullaitive,GREEN CHILLIES,52
2008,Mullaitive,KANKUN,52
2008,Mullaitive,KNOL-KHOL,52
2008,Mullaitive,LADIES FINGERS,52
2008,Mullaitive,LEEKS,52
2008,Mullaitive,LIME,52
2008,Mullaitive,LONG BEANS,52
2008,Mullaitive,LUFFA,52
2008,Mullaitive,MANIOC,52
2008,Mullaitive,MUKUNUWENNA,52
2008,Mullaitive,PUMPKIN,52
2008,Mullaitive,RADDISH,52
2008,Mullaitive,SNAKE GOURD,52
2008,Mullaitive,SWEET POTATOES,52
2008,Mullaitive,TOMATOES,52
2008,Nikaweratiya,ASH PLANTAINS,5
2008,Nikaweratiya,BEETROOT,5
2008,Nikaweratiya,BITTER GOURD,5
2008,Nikaweratiya,BRINJALS,5
2008,Nikaweratiya,CABBAGE,5
2008,Nikaweratiya,CAPSICUM,5
2008,Nikaweratiya,CARROT,5
2008,Nikaweratiya,CUCUMBER,6
2008,Nikaweratiya,DRUMSTIC,25
2008,Nikaweratiya,GOTUKOLA,6
2008,Nikaweratiya,GREEN BEANS,5
2008,Nikaweratiya,GREEN CHILLIES,5
2008,Nikaweratiya,KANKUN,5
2008,Nikaweratiya,KNOL-KHOL,5
2008,Nikaweratiya,LADIES FINGERS,5
2008,Nikaweratiya,LEEKS,5
2008,Nikaweratiya,LIME,9
2008,Nikaweratiya,LONG BEANS,5
2008,Nikaweratiya,LUFFA,5
2008,Nikaweratiya,MANIOC,8
2008,Nikaweratiya,MUKUNUWENNA,5
2008,Nikaweratiya,PUMPKIN,6
2008,Nikaweratiya,RADDISH,5
2008,Nikaweratiya,SNAKE GOURD,5
2008,Nikaweratiya,SWEET POTATOES,5
2008,Nikaweratiya,TOMATOES,5
2008,Nuwaraeliya,ASH PLANTAINS,10
2008,Nuwaraeliya,BEETROOT,9
2008,Nuwaraeliya,BITTER GOURD,9
2008,Nuwaraeliya,BRINJALS,9
2008,Nuwaraeliya,CABBAGE,9
2008,Nuwaraeliya,CAPSICUM,9
2008,Nuwaraeliya,CARROT,9
2008,Nuwaraeliya,CUCUMBER,9
2008,Nuwaraeliya,DRUMSTIC,34
2008,Nuwaraeliya,GOTUKOLA,10
2008,Nuwaraeliya,GREEN BEANS,9
2008,Nuwaraeliya,GREEN CHILLIES,10
2008,Nuwaraeliya,KANKUN,9
2008,Nuwaraeliya,KNOL-KHOL,9
2008,Nuwaraeliya,LADIES FINGERS,9
2008,Nuwaraeliya,LEEKS,9
2008,Nuwaraeliya,LIME,10
2008,Nuwaraeliya,LONG BEANS,9
2008,Nuwaraeliya,LUFFA,9
2008,Nuwaraeliya,MANIOC,10
2008,Nuwaraeliya,MUKUNUWENNA,9
2008,Nuwaraeliya,PUMPKIN,9
2008,Nuwaraeliya,RADDISH,10
2008,Nuwaraeliya,SNAKE GOURD,9
2008,Nuwaraeliya,SWEET POTATOES,10
2008,Nuwaraeliya,TOMATOES,9
2008,Polonnaruwa,ASH PLANTAINS,11
2008,Polonnaruwa,BEETROOT,11
2008,Polonnaruwa,BITTER GOURD,11
2008,Polonnaruwa,BRINJALS,11
2008,Polonnaruwa,CABBAGE,11
2008,Polonnaruwa,CAPSICUM,12
2008,Polonnaruwa,CARROT,11
2008,Polonnaruwa,CUCUMBER,12
2008,Polonnaruwa,DRUMSTIC,39
2008,Polonnaruwa,GOTUKOLA,12
2008,Polonnaruwa,GREEN BEANS,11
2008,Polonnaruwa,GREEN CHILLIES,11
2008,Polonnaruwa,KANKUN,11
2008,Polonnaruwa,KNOL-KHOL,11
2008,Polonnaruwa,LADIES FINGERS,11
2008,Polonnaruwa,LEEKS,11
2008,Polonnaruwa,LIME,11
2008,Polonnaruwa,LONG BEANS,11
2008,Polonnaruwa,LUFFA,11
2008,Polonnaruwa,MANIOC,11
2008,Polonnaruwa,MUKUNUWENNA,11
2008,Polonnaruwa,PUMPKIN,12
2008,Polonnaruwa,RADDISH,11
2008,Polonnaruwa,SNAKE GOURD,11
2008,Polonnaruwa,SWEET POTATOES,11
2008,Polonnaruwa,TOMATOES,11
2008,Puttalam,ASH PLANTAINS,14
2008,Puttalam,BEETROOT,14
2008,Puttalam,BITTER GOURD,13
2008,Puttalam,BRINJALS,13
2008,Puttalam,CABBAGE,13
2008,Puttalam,CAPSICUM,13
2008,Puttalam,CARROT,13
2008,Puttalam,CUCUMBER,13
2008,Puttalam,DRUMSTIC,47
2008,Puttalam,GOTUKOLA,41
2008,Puttalam,GREEN BEANS,13
2008,Puttalam,GREEN CHILLIES,13
2008,Puttalam,KANKUN,43
2008,Puttalam,KNOL-KHOL,46
2008,Puttalam,LADIES FINGERS,13
2008,Puttalam,LEEKS,13
2008,Puttalam,LIME,41
2008,Puttalam,LONG BEANS,13
2008,Puttalam,LUFFA,14
2008,Puttalam,MANIOC,43
2008,Puttalam,MUKUNUWENNA,36
2008,Puttalam,PUMPKIN,19
2008,Puttalam,RADDISH,14
2008,Puttalam,SNAKE GOURD,14
2008,Puttalam,SWEET POTATOES,19
2008,Puttalam,TOMATOES,13
2008,Rathnapura,ASH PLANTAINS,11
2008,Rathnapura,BEETROOT,10
2008,Rathnapura,BITTER GOURD,10
2008,Rathnapura,BRINJALS,10
2008,Rathnapura,CABBAGE,9
2008,Rathnapura,CAPSICUM,10
2008,Rathnapura,CARROT,10
2008,Rathnapura,CUCUMBER,10
2008,Rathnapura,DRUMSTIC,30
2008,Rathnapura,GOTUKOLA,15
2008,Rathnapura,GREEN BEANS,9
2008,Rathnapura,GREEN CHILLIES,10
2008,Rathnapura,KANKUN,10
2008,Rathnapura,KNOL-KHOL,20
2008,Rathnapura,LADIES FINGERS,10
2008,Rathnapura,LEEKS,9
2008,Rathnapura,LIME,10
2008,Rathnapura,LONG BEANS,11
2008,Rathnapura,LUFFA,12
2008,Rathnapura,MANIOC,10
2008,Rathnapura,MUKUNUWENNA,10
2008,Rathnapura,PUMPKIN,10
2008,Rathnapura,RADDISH,9
2008,Rathnapura,SNAKE GOURD,10
2008,Rathnapura,SWEET POTATOES,10
2008,Rathnapura,TOMATOES,10
2008,Thambuththegama,ASH PLANTAINS,16
2008,Thambuththegama,BEETROOT,16
2008,Thambuththegama,BITTER GOURD,16
2008,Thambuththegama,BRINJALS,16
